Country,Region,Count,Average_Score
Denmark,Western Europe,7,7.570799954
Finland,Western Europe,7,7.619957135428571
Iceland,Western Europe,7,7.516214299857142
Netherlands,Western Europe,7,7.419414296857142
Norway,Western Europe,7,7.512142870714286
Sweden,Western Europe,7,7.330357115571428
Switzerland,Western Europe,7,7.526842823571428
New Zealand,Australia and New Zealand,5,7.313000026
Canada,North America,5,7.350599997000001
Australia,Australia and New Zealand,4,7.28824998
Austria,Western Europe,3,7.269399981333333
New Zealand,North America and ANZ,2,7.288300062
Luxembourg,Western Europe,2,7.2807500955
